W.T.P. Code,Source,W.T.P. Name,Longitude of W.T.P.,Latitude of W.T.P.,Year,W.T.P. Compliance,Waste treatment method,Sludge treatment method,Capacity (p.e.),Reuse,Reuse methods,Administrative Region,Municipal,Water District,River Basin,Receiver Code,Receiver Name,Receiver Type
EL142002017,https://astikalimata.ypeka.gr/wtp?EL142002017,ΑΓΙΑ,22.770819,39.692253,2011,✔️,Δευτεροβάθμια επεξεργασία,Μηχανική πάχυνση,"9,750",❌,,Thessaly,ΔΗΜΟΣ ΑΓΙΑΣ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL1420020170,ΑΜΥΡΟΣ Π.,Normal
EL1420210123,https://astikalimata.ypeka.gr/wtp?EL1420210123,ΝΙΚΑΙΑ,22.454407,39.601704,,❌,Άλλη αυστηρότερη επεξεργασία (περιγράψτε),"Μηχανική αφυδάτωση, Αφυδάτωση σε κλίνες ξήρανσης","4,950",❌,,Thessaly,ΔΗΜΟΣ ΚΙΛΕΛΕΡ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL1420210123,ΡΕΜΑ,Normal
EL143001012,https://astikalimata.ypeka.gr/wtp?EL143001012,ΒΟΛΟΣ,22.920216,39.352608,1987,✔️,Δευτεροβάθμια επεξεργασία με απομάκρυνση αζώτου και φωσφόρου και απολύμανση,"Πάχυνση σε βαρυτικούς παχυντές, Μηχανική πάχυνση, Αναερόβια σταθεροποίηση","215,000",❌,,Thessaly,ΔΗΜΟΣ ΒΟΛΟΥ,ΘΕΣΣΑΛΙΑ,Ρεμάτων Αλμυρού-Πηλίου,EL1430010120,ΠΑΓΑΣΗΤΙΚΟΣ ΚΟΛΠΟΣ,Normal
EL1430040113,https://astikalimata.ypeka.gr/wtp?EL1430040113,ΑΛΜΥΡΟΣ,22.771753,39.180134,2004,✔️,Δευτεροβάθμια επεξεργασία με απομάκρυνση αζώτου και φωσφόρου και απολύμανση,Μηχανική αφυδάτωση,"18,000",❌,,Thessaly,ΔΗΜΟΣ ΑΛΜΥΡΟΥ,ΘΕΣΣΑΛΙΑ,Ρεμάτων Αλμυρού-Πηλίου,EL14300401130,ΠΑΓΑΣΗΤΙΚΟΣ ΚΟΛΠΟΣ,Normal
EL143019013,https://astikalimata.ypeka.gr/wtp?EL143019013,ΣΚΙΑΘΟΣ,23.512203,39.178493,1994,✔️,Δευτεροβάθμια επεξεργασία και απολύμανση,Μηχανική αφυδάτωση,"26,000",❌,,Thessaly,ΔΗΜΟΣ ΣΚΙΑΘΟΥ,ΑΝΑΤΟΛΙΚΗ ΣΤΕΡΕΑ ΕΛΛΑΔΑ,Σποράδων,EL1430190130,ΣΙΡΙΑΔΕΣ (ΑΙΓΑΙΟ ΠΕΛΑΓΟΣ),Normal
EL1430200112,https://astikalimata.ypeka.gr/wtp?EL1430200112,ΣΚΟΠΕΛΟΣ,23.723494,39.104286,2009,✔️,Δευτεροβάθμια επεξεργασία και απολύμανση,Αερόβια σταθεροποίηση,"15,000",❌,,Thessaly,ΔΗΜΟΣ ΣΚΟΠΕΛΟΥ,ΑΝΑΤΟΛΙΚΗ ΣΤΕΡΕΑ ΕΛΛΑΔΑ,Σποράδων,EL14302001120,ΑΙΓΑΙΟ ΠΕΛΑΓΟΣ,Normal
EL1420160110,https://astikalimata.ypeka.gr/wtp?EL1420160110,ΛΙΒΑΔΙ,22.162247,40.120716,2011,✔️,Δευτεροβάθμια επεξεργασία με απομάκρυνση αζώτου και φωσφόρου και απολύμανση,"Μηχανική πάχυνση, Αερόβια σταθεροποίηση, Μηχανική αφυδάτωση","5,000",❌,,Thessaly,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL14201601100,ΓΟΥΓΟΥΛΑΣ Ρ.,Normal
EL142008018,https://astikalimata.ypeka.gr/wtp?EL142008018,ΕΛΑΣΣΟΝΑ,22.17568,39.88403,2007,✔️,Δευτεροβάθμια επεξεργασία με απομάκρυνση αζώτου και φωσφόρου και απολύμανση,"Μηχανική πάχυνση, Αερόβια σταθεροποίηση, Μηχανική αφυδάτωση","12,225",❌,,Thessaly,ΔΗΜΟΣ ΕΛΑΣΣΟΝΑΣ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL1420080180,ΤΙΤΑΡΗΣΙΟΣ Π. (ΕΛΑΣΣΟΝΙΤΙΚΟΣ Π.),Normal
EL144001014,https://astikalimata.ypeka.gr/wtp?EL144001014,ΤΡΙΚΑΛΑ,21.801464,39.54863,1989,✔️,Δευτεροβάθμια επεξεργασία,Μηχανική αφυδάτωση,"75,000",❌,,Thessaly,ΔΗΜΟΣ ΤΡΙΚΚΑΙΩΝ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL1440010140,ΛΗΘΑΙΟΣ Π.,Normal
EL1410130118,https://astikalimata.ypeka.gr/wtp?EL1410130118,ΠΑΛΑΜΑΣ,22.117249,39.464767,2019,❌,Δευτεροβάθμια επεξεργασία με απομάκρυνση αζώτου και απολύμανση,Μηχανική αφυδάτωση,"8,200",❌,,Thessaly,ΔΗΜΟΣ ΠΑΛΑΜΑ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL1410130118,ΡΕΜΑ,Normal
EL14201803117,https://astikalimata.ypeka.gr/wtp?EL14201803117,ΑΓΙΟΚΑΜΠΟΣ,22.837538,39.700745,2021,❌,Δευτεροβάθμια επεξεργασία με απομάκρυνση αζώτου και φωσφόρου και απολύμανση,"Μηχανική πάχυνση, Μηχανική αφυδάτωση","11,385",❌,,Thessaly,ΔΗΜΟΣ ΑΓΙΑΣ,ΘΕΣΣΑΛΙΑ,Ρεμάτων Αλμυρού-Πηλίου,EL142018031170,ΡΕΜΑ ΠΟΥΡΙ,Normal
EL142006019,https://astikalimata.ypeka.gr/wtp?EL142006019,ΓΙΑΝΝΟΥΛΗ,22.425741,39.66934,1997,✔️,Δευτεροβάθμια επεξεργασία με απομάκρυνση αζώτου και απολύμανση,Πάχυνση σε βαρυτικούς παχυντές,"14,659",❌,,Thessaly,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL1420060190,ΠΗΝΕΙΟΣ Π.,Normal
EL142001011,https://astikalimata.ypeka.gr/wtp?EL142001011,ΛΑΡΙΣΑ,22.44039,39.664394,1989,✔️,Δευτεροβάθμια επεξεργασία με απομάκρυνση αζώτου και απολύμανση,"Πάχυνση σε βαρυτικούς παχυντές, Μηχανική πάχυνση, Αναερόβια σταθεροποίηση, Μηχανική αφυδάτωση","210,000",❌,,Thessaly,ΔΗΜΟΣ ΛΑΡΙΣΑΙΩΝ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL1420010110,ΠΗΝΕΙΟΣ Π.,Normal
EL1440060114,https://astikalimata.ypeka.gr/wtp?EL1440060114,ΚΑΛΑΜΠΑΚΑ,21.637384,39.686245,2001,✔️,Δευτεροβάθμια επεξεργασία με απομάκρυνση αζώτου και φωσφόρου και απολύμανση,Μηχανική αφυδάτωση,"21,666",❌,,Thessaly,ΔΗΜΟΣ ΚΑΛΑΜΠΑΚΑΣ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL14400601140,ΠΗΝΕΙΟΣ Π.,Normal
EL142027016,https://astikalimata.ypeka.gr/wtp?EL142027016,ΤΥΡΝΑΒΟΣ,22.304024,39.742466,1995,✔️,Δευτεροβάθμια επεξεργασία με απομάκρυνση αζώτου και απολύμανση,Μηχανική αφυδάτωση,"18,000",❌,,Thessaly,ΔΗΜΟΣ ΤΥΡΝΑΒΟΥ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL1420270160,ΤΙΤΑΡΗΣΙΟΣ Π.,Normal
EL1420280111,https://astikalimata.ypeka.gr/wtp?EL1420280111,ΦΑΡΣΑΛΑ,22.37567,39.304615,2009,✔️,Δευτεροβάθμια επεξεργασία,Μηχανική αφυδάτωση,"15,417",❌,,Thessaly,ΔΗΜΟΣ ΦΑΡΣΑΛΩΝ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL14202801110,ΑΠΙΔΑΝΟΣ Π.,Normal
EL141001015,https://astikalimata.ypeka.gr/wtp?EL141001015,ΚΑΡΔΙΤΣΑ,21.945839,39.376225,1989,✔️,Δευτεροβάθμια επεξεργασία,Άλλη αυστηρότερη επεξεργασία (περιγράψτε),"56,050",❌,,Thessaly,ΔΗΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑ,Πηνειού,EL1410010150,ΠΗΝΕΙΟΣ (ΚΑΛΕΤΖΗΣ) Π.,Normal
EL1410180115,https://astikalimata.ypeka.gr/wtp?EL1410180115,ΣΟΦΑΔΕΣ,22.147688,39.326763,2015,❌,Δευτεροβάθμια επεξεργασία,Μηχανική πάχυνση,"6,800",❌,,Thessaly,ΔΗΜΟΣ ΣΟΦΑΔΩΝ,ΘΕΣΣΑΛΙΑ,Πηνειού,,,Normal